natures_of_crimes,case_numbers,date_reported,time_reported,date_occurred,time_occurred,general_location,disposition,year_reported,year_occured
Theft from Auto,14-1188,2010-11-14,1613,2010-11-14,1543 Childers Lot,,active,2010,2010
Damaged Property,14-1189,2010-11-14,1630,2010-11-14,1543 Childers Lot,,inactive,2010,2010
Theft from Auto,14-1190,2010-11-14,2240,2010-11-14,2154 Cook Hall,,active,2010,2010
Sick Person,14-1191,2010-11-14,2235,2010-11-14,2231 Bethune Annex,,inactive,2010,2010
Sick Person,14-1192,2010-12-14,0133,2010-12-14,0130 Quadrangle Hall,,inactive,2010,2010
Sick Person,14-1193,2010-12-14,1230,2010-12-14,1230 Blackburn Center,,inactive,2010,2010
Miscellaneous,14-1194,2010-12-14,1852,2010-12-14,1852 Campus wide,,inactive,2010,2010
Fire Alarm Activation,14-1195,2010-12-14,1835,2010-12-14,1835 Plaza Towers,,inactive,2010,2010
Unlawful Entry,14-1196,2010-12-14,2206,2010-12-14,22061 College Hall South,,active,2010,2010
Sick Transport,14-1197,NA,0825,NA,0818 Quadrangle Hall,,inactive,NA,NA
Fire Alarm Activation,14-1198,NA,1645,NA,1645 College Hall South,,inactive,NA,NA
Theft II,14-1199,NA,1740,NA,1713 Burr Gymnasium,,active,NA,NA
Student Misconduct,14-1200,NA,1747,NA,1720 Childers Lot,,active,NA,NA
Theft II,14-1201,NA,1909,NA,1909 Drew Hall,,active,NA,NA
Fire Alarm Activation,14-1202,NA,2305,NA,2301 College Hall North,,inactive,NA,NA
Burglary II,14-1203,NA,0426,NA,0300+GC1o2ll5eg7e Hal North,,active,NA,NA
Sick Person,14-1204,NA,1125,NA,1125 Admin. Building,,inactive,NA,NA
Fire Alarm Activation,14-1205,NA,1314,NA,1314 Service Center,,inactive,NA,NA
Theft II,14-1206,NA,1550,NA,1547 Mudd Building,,active,NA,NA
Hit & Run,14-1207,NA,1601,NA,1530 Distriution Center,,active,NA,NA
Sick Transport,14-1208,NA,1748,NA,1748 College Hall South,,inactive,NA,NA
Fire Alarm Activation,14-1209,NA,2143,NA,2138 College Hall North,,inactive,NA,NA
Sexual Assault,14-1210,NA,0327,NA, 4th Street NW,,active,NA,NA
Injured Person,14-1212,NA,0555,NA,0540,hu hospital,inactive,NA,NA
Theft from Auto,14-1213,NA,1503,NA,1503,banneker south lot,active,NA,NA
Theft II,14-1214,NA,1544,NA,1523,stokes library,active,NA,NA
Injured Person,14-1215,NA,1615,NA,1558,service center,inactive,NA,NA
Fire Alarm Activation,14-1216,NA,1804,NA,1804,college hall south,inactive,NA,NA
Sick Person,14-1217,NA,2349,NA,2345,plaza towers,inactive,NA,NA
Student Misconduct,14-1218,NA,0825,NA,0825,cramton auditorium,active,NA,NA
Damaged Property,14-1219,NA,1438,NA,1438,biology building,inactive,NA,NA
Suspicious Odor,14-1220,NA,2039,NA,2030,admin. building,inactive,NA,NA
Fire Alarm Activation,14-1221,NA,2003,NA,2000,hurb 1,inactive,NA,NA
Vehicle Accident,14-1222,NA,2201,NA,2201,main gate,active,NA,NA
Theft II,14-1223,NA,0931,NA,0850,douglass hall,active,NA,NA
Vehicle Accident,14-1224,NA,0952,NA,0941,plaza towers,active,NA,NA
Sick Person,14-1225,NA,1414,NA,1400,main gate,inactive,NA,NA
Theft from Auto,14-1226,NA,1942,NA,1900,banneker north lot,active,NA,NA
Destruction of Property,14-1227,NA,2002,NA,1905,banneker north lot,active,NA,NA
Damaged Property,14-1228,NA,0659,NA,0659,drew hall,inactive,NA,NA
Lost Property,14-1229,NA,1552,NA,1547,main yard,inactive,NA,NA
Injured Person,14-1230,NA,1625,NA,1625,locke hall,inactive,NA,NA
Damaged Property,14-1231,NA,1615,NA,1605,service center,inactive,NA,NA
Sick Person,14-1232,NA,1748,NA,1747,founders library,inactive,NA,NA
Sick Person,14-1233,NA,1833,NA,1833,howard center lot,inactive,NA,NA
Fire Alarm Activation,14-1234,NA,1900,NA,1900,plaza towers,inactive,NA,NA
Lost Property,14-1235,NA,2002,NA,1955,quadrangle hall,inactive,NA,NA
Found Property,14-1236,NA,2059,NA,1930,howard center lot,inactive,NA,NA
Sick Person,14-1237,NA,2145,NA,2145,plaza towers,inactive,NA,NA
Aggravated Assault,14-1238,NA,2125,NA,2100,hu hospital,inactive,NA,NA
Hit and Run,14-1239,NA,2030,NA,2026,c.b. powell building,active,NA,NA
Domestic Violence,14-1240,NA,2226,NA,2215,quadrangle hall,inactive,NA,NA
Sick Person,14-1241,NA,0030,NA,0021,college hall south,inactive,NA,NA
Miscellaneous,14-1242,NA,0842,NA,0842,plaza towers,inactive,NA,NA
Destruction of Property,14-1243,NA,1542,NA,1542,plaza towers,active,NA,NA
Fire Alarm Activation,14-1244,NA,1751,NA,1751,college hall  north,inactive,NA,NA
Damaged Property,14-1245,NA,1753,NA,1700,hu hospital,inactive,NA,NA
No Report,14-1246,NA,,NA,,,NA,NA,NA
Lost Property,14-1247,NA,1426,NA,1100,locke hall,inactive,NA,NA
Theft from Auto,14-1248,NA,1506,2010-11-14,1300,childers lot,active,NA,2010
Sexual Assault,14-1249,NA,1611,2010-07-14,1245,student heath clinic,active,NA,2010
Sick Person,14-1250,NA,2122,NA,2120,bethune annex,inactive,NA,NA
Miscellaneous,14-1251,NA,0147,NA,0132,college hall south,inactive,NA,NA
Sick Person,14-1252,NA,1259,NA,1255,blackburn center,inactive,NA,NA
Theft from Auto,14-1253,NA,1427,NA,1427,500 blk gresham pl. nw,active,NA,NA
Fire Alarm Activation,14-1254,NA,1919,NA,1917,college hall south,inactive,NA,NA
Sick Transport,14-1255,NA,1222,NA,1217,plaza towers,inactive,NA,NA
Hazardous Elevator,14-1256,NA,2026,NA,2026,drew hall,inactive,NA,NA
Sick Person,14-1257,NA,2151,NA,2150,college hall north,inactive,NA,NA
Attempt Robbery,12-1258,NA,1419,NA,0035,"200 elm street nw,",active,NA,NA
Student Misconduct,12-1259,NA,1558,NA,1558,college hall south,active,NA,NA
Theft from Auto,12-1260,NA,1809,NA,1809,banneker south lot,active,NA,NA
Theft II,12-1261,NA,1724,NA,1724,miner lot,active,NA,NA
Sick Transport,12-1262,NA,1901,NA,1901,quadrangle hall,inactive,NA,NA
Damaged Property,12-1263,NA,2202,NA,2202,c.b. powell building,inactive,NA,NA
Burglary II,14-1264,NA,0057,NA,0030,college hall north,active,NA,NA
Sick Transport,14-1265,NA,0340,NA,0340,bethune hall,inactive,NA,NA
Sick Transport,14-1266,NA,0635,NA,0616,college hall north,inactive,NA,NA
Theft II,14-1267,NA,0952,NA,0952,blackburn center,active,NA,NA
Theft from Auto,14-1268,NA,1147,NA,1147,banneker south lot,active,NA,NA
Theft II,14-1269,NA,1348,NA,1348,quadrangle hall,active,NA,NA
Lost Property,14-1270,NA,1440,NA,1418,wonder plaza/dispatch,inactive,NA,NA
Lost Property,14-1271,NA,1618,NA,1617,architect & planning,inactive,NA,NA
Simple Assault,14-1272,NA,1622,NA,1622,plaza towers,active,NA,NA
Miscellaneous,14-1273,NA,1906,NA,1903,locke hall,inactive,NA,NA
Damaged Property,14-1274,NA,2150,NA,1200,west campus,inactive,NA,NA
Miscellaneous,14-1275,NA,0852,NA,052,drew hall,inactive,NA,NA
Sick Person,14-1276,NA,1920,NA,1910,blackburn center,inactive,NA,NA
Sick Person,14-1277,NA,0117,NA,0116,quadrangle hall,inactive,NA,NA
Student Misconduct,14-1278,NA,0217,NA,0212,quadrangle hall,active,NA,NA
Injured Person,14-1279,NA,1425,NA,1415,east campus,inactive,NA,NA
Sick Person,14-1280,NA,1805,NA,1759,wonder plaza,inactive,NA,NA
Damaged Property,14-1281,NA,2140,NA,2134,howard manor,inactive,NA,NA
Sick Transport,14-1282,NA,0347,NA,0347,plaza towers,inactive,NA,NA
Injured Person,14-1283,NA,0410,NA,0410,douglass hall,inactive,NA,NA
Damaged Property,14-1284,NA,1210,NA,1207,banneker south lot,inactive,NA,NA
No report,14-1285,NA,,NA,,,NA,NA,NA
Threats,14-1286,NA,1503,NA,1503,service center,active,NA,NA
Injured Person,14-1287,NA,2027,NA,2027,plaza towers,inactive,NA,NA
Lost Property,14-1288,NA,2145,NA,2145,ralph bunch building,inactive,NA,NA
Injured Person,14-1289,NA,2308,NA,2308,public space,inactive,NA,NA
Unlawful  Entry,14-1290,NA,0305,NA,0305,plaza towers,active,NA,NA
Found Property,14-1291,NA,1234,NA,1234,blackburn center,inactive,NA,NA
Student Misconduct,14-1292,NA,1225,NA,1135,east campus,active,NA,NA
Vehicle Accident,14-1293,NA,1345,NA,1345,engineering lot,active,NA,NA
Found Property,14-1294,NA,1410,NA,1410,c.b. powell building,inactive,NA,NA
Miscellaneous,14-1295,NA,1644,NA,1630,upper campus,inactive,NA,NA
Theft from Auto,14-1296,NA,1930,NA,1840,childers lot,active,NA,NA
Miscellaneous,14-1297,NA,2225,NA,1530,hurb 1,inactive,NA,NA
Fire,14-1298,NA,2327,NA,2327,greene stadium,active,NA,NA
Hazardous Water Leak,14-1299,NA,0007,NA,0007,burr gymnasium,inactive,NA,NA
Miscellaneous,14-1300,NA,0046,NA,0046,college hall south,inactive,NA,NA
Fire Alarm Activation,14-1301,NA,0130,NA,0130,quadrangle hall,inactive,NA,NA
Injured Person,14-1302,NA,0155,NA,0155,hu hospital,inactive,NA,NA
Burglary II,14-1303,NA,0306,NA,0230,plaza towers,active,NA,NA
Damaged Property,14-1304,NA,0845,NA,0915,biology building,inactive,NA,NA
Miscellaneous,14-1305,NA,1134,NA,1120,mudd building,inactive,NA,NA
Theft from Auto,14-1306,NA,1327,NA,1327,"georgia ave. nw & gresham,",active,NA,NA
Sick  Transport,14-1307,NA,1559,NA,1550,c. b. powell building,inactive,NA,NA
Found Property,14-1308,NA,1745,NA,1745,upper campus,inactive,NA,NA
Hazardous Water Leak,14-1309,NA,2042,NA,2042,bethune  annex,inactive,NA,NA
Vehicle Accident,14-1310,2011-01-14,0128,2011-01-14,0127,quadrangle hall,active,2011,2011
Harrasment,14-1311,2011-01-14,0206,2011-01-14,0206,quadrangle hall,active,2011,2011
Sick Transport,14-1312,2011-01-14,1300,2011-01-14,1256,quadrangle hall,inactive,2011,2011
Armed Robbery,14-1313,2011-01-14,1933,2011-01-14,1933,"2455 4th st nw – quad,",inactive,2011,2011
Sick Transport,14-1314,2011-01-14,2335,2011-01-14,0005,quadrangle hall,inactive,2011,2011
Injured Person,14-1315,2011-02-14,2214,2011-02-14,1945,wonder plaza,inactive,2011,2011
Lost Property,14-1316,2011-03-14,0816,2011-03-14,0807,cramton auditorium,inactive,2011,2011
Vehicle Accident,14-1317,2011-03-14,0902,2011-03-14,0902,upper campus,active,2011,2011
Vehicle Accident,14-1318,2011-03-14,1158,2011-03-14,1130,banneker north lot,active,2011,2011
Hazardous Elevator,14-1319,2011-03-14,1307,2011-03-14,1305,school of business,inactive,2011,2011
Lost Property,14-1320,2011-03-14,1500,2011-03-14,1405,"sherman ave. nw,",inactive,2011,2011
Damaged Property,14-1321,2011-03-14,1655,2011-03-14,1634,900 block of 9th st. nw,inactive,2011,2011
Sick Person,14-1322,2011-03-14,1651,2011-03-14,1651,college hall north,inactive,2011,2011
Miscellaneous,14-1323,2011-03-14,2051,2011-03-14,2051,6th & howard pl. nw,inactive,2011,2011
Sick Person,14-1324,2011-03-14,2310,2011-03-14,2303,quadrangle hall,inactive,2011,2011
Fire Alarm Activation,14-1325,2011-04-14,0645,2011-04-14,0619,cramton auditorium,inactive,2011,2011
Burglary II,14-1326,2011-04-14,0947,2011-04-14,0830,blackburn center,active,2011,2011
Sick Person,14-1327,2011-04-14,0957,2011-04-14,0957,hurb-1,inactive,2011,2011
Damaged Property,14-1328,2011-04-14,1221,2011-04-14,1221,howard center lot,inactive,2011,2011
Theft II,14-1329,2011-04-14,1228,2011-04-14,1228,mudd building,active,2011,2011
Theft from Auto,14-1330,2011-04-14,1627,2011-04-14,1627,2300 11th st. nw,active,2011,2011
Theft II,14-1331,2011-04-14,1645,2011-04-14,1643,business district,active,2011,2011
Injured Person,14-1332,2011-04-14,2049,2011-04-14,2049,fine arts building,active,2011,2011
Sick Person,14-1333,2011-05-14,1132,2011-05-14,1132,cook hall,inactive,2011,2011
Sick Person,14-1334,2011-05-14,1300,2011-05-14,1233,blackburn center,inactive,2011,2011
Unlawful Entry,14-1335,2011-05-14,1309,2011-05-14,1305,burr gymnasium,active,2011,2011
Damaged Property,14-1336,2011-05-14,1335,2011-05-14,1338,c.b. powell building,inactive,2011,2011
Damaged Property,14-1337,2011-05-14,1618,2011-05-14,1618,hu hospital,inactive,2011,2011
Injured Person,14-1338,2011-05-14,1704,2011-05-14,1704,service center,inactive,2011,2011
Vehicle Accident,14-1339,2011-05-14,1926,2011-05-14,1926,hu hospital,active,2011,2011
Lost Property,14-1340,2011-05-14,2123,2011-05-14,2123,mudd building,inactive,2011,2011
Student Misconduct,14-1341,2011-06-14,1230,2011-06-14,1230,annex i,active,2011,2011
Vehicle Accident,14-1342,2011-06-14,1344,2011-06-14,1344,plaza towers,active,2011,2011
Sick Person,14-1343,2011-06-14,1658,2011-06-14,1652,service center,inactive,2011,2011
Miscellaneous,14-1344,2011-06-14,1915,2011-06-14,1915,college hall south,inactive,2011,2011
Miscellaneous,14-1345,2011-06-14,2110,2011-06-14,2110,college hall south,inactive,2011,2011
Attempt Suicide,14-1346,2011-07-14,0411,2011-07-14,0405,quadrangle hall,active,2011,2011
Fire Alarm Activation,14-1347,2011-07-14,1013,2011-07-14,1013,college hall south,inactive,2011,2011
Fire,14-1348,2011-07-14,1036,2011-07-14,1036,blackburn center,active,2011,2011
Miscellaneous,14-1349,2011-07-14,1447,2011-07-14,1401,service center,inactive,2011,2011
Student Misconduct,14-1350,2011-07-14,1420,2011-07-14,1420,plaza towers,active,2011,2011
Fire,14-1351,2011-07-14,2103,2011-07-14,2104,howard manor,active,2011,2011
Fire Alarm Activation,14-1352,2011-08-14,0319,2011-08-14,0313,pharmacy building,inactive,2011,2011
Sick Transport,14-1353,2011-08-14,0428,2011-08-14,0421,college hall north,inactive,2011,2011
Simple Assault,14-1354,2011-09-14,0407,2011-09-14,0400,upper campus,active,2011,2011
Sick Person,14-1355,2011-09-14,1650,2011-09-14,1650,blackburn center,inactive,2011,2011
Suspicious Odor,14-1356,2011-09-14,2005,2011-09-14,1800,drew hall,active,2011,2011
Fire Alarm Activation,14-1357,2011-10-14,0201,2011-10-14,0201,mudd building,inactive,2011,2011
Lost Property,14-1358,2011-10-14,0815,2011-10-14,0814,plaza towers,inactive,2011,2011
Lost Property,14-1359,2011-10-14,1115,2011-10-14,1113,dispatch socc,inactive,2011,2011
Theft II,14-1360,2011-10-14,1630,2011-10-14,1459,dental school,active,2011,2011
Loud Noise,14-1361,2011-11-14,0106,2011-11-14,0106,plaza towers,inactive,2011,2011
Loud Noise,14-1362,2011-11-14,0126,2011-11-14,0122,off campus,inactive,2011,2011
Sick Person,14-1363,2011-11-14,0149,2011-11-14,0148,service center,inactive,2011,2011
Hazardous Water Leak,14-1364,2011-11-14,0114,2011-11-14,0114,east campus,inactive,2011,2011
Theft II,14-1365,2011-11-14,1301,2011-11-14,1300,bookstore,active,2011,2011
Destruction Of Property,14-1366,2011-11-14,1612,2011-11-14,1612,college hall south,active,2011,2011
Destruction Of Property,14-1367,2011-11-14,1654,2011-11-14,1654,off campus,active,2011,2011
Lost Property,14-1368,2011-11-14,1809,2011-11-14,1804,off campus,inactive,2011,2011
Sick Person,14-1369,2011-12-14,0257,2011-12-14,0257,hu hospital,inactive,2011,2011
Sick Person,14-1370,2011-12-14,0328,2011-12-14,0322,hu hospital,inactive,2011,2011
Theft  II,14-1371,2011-12-14,0803,2011-12-14,0803,service center,active,2011,2011
Vehicle Accident,14-1372,2011-12-14,0814,2011-12-14,0814,cook hall,active,2011,2011
Disoderly,14-1373,2011-12-14,0025,2011-12-14,1134,college hall north,active,2011,2011
Theft from Auto,14-1374,2011-12-14,1900,2011-12-14,1319,5th & w st. nw,active,2011,2011
Theft II,14-1375,2011-12-14,1328,2011-12-14,1325,blackburn center,active,2011,2011
Robbery Snatch,14-1376,2011-12-14,1424,2011-12-14,1419,"mudd building / 520 w street nw,",active,2011,2011
Hazardous Elevator,14-1377,2011-12-14,1755,2011-12-14,1755,quadrangle hall,inactive,2011,2011
Miscellaneous,14-1378,2011-12-14,2019,2011-12-14,2025,social work,inactive,2011,2011
Vehicle Accident,14-1379,NA,1149,NA,1145,lower campus,active,NA,NA
Lost Property,14-1380,NA,1307,NA,1306,mudd building,inactive,NA,NA
Sick Person,14-1381,NA,1346,NA,1346,blackburn center,inactive,NA,NA
Student Misconduct,14-1382,NA,1601,NA,1601,plaza towers,active,NA,NA
Injured Person,14-1383,NA,1912,NA,1912,burr gymnasium,inactive,NA,NA
Theft I,14-1384,NA,2024,NA,2024,burr gymnasium,active,NA,NA
Sick Person,14-1385,NA,0017,NA,0012,hu hospital,inactive,NA,NA
Fire Alarm Activation,14-1386,NA,0100,NA,0106,slowe hall,inactive,NA,NA
Unlawful Entry,14-1387,NA,0429,NA,0429,plaza towers,active,NA,NA
Student Misconduct,14-1388,NA,0430,NA,0519,plaza towers,active,NA,NA
Student Misconduct,14-1389,NA,1631,NA,1631,plaza towers,active,NA,NA
Student Misconduct,14-1390,NA,2115,NA,2113,quadrangle hall,active,NA,NA
Fire Alarm Activation,14-1391,NA,0113,NA,0110,plaza towers,inactive,NA,NA
Sick Transport,14-1392,NA,0905,NA,0904,drew hall,inactive,NA,NA
Sick Person,14-1393,NA,1612,NA,1612,drew hall,inactive,NA,NA
Miscellaneous,14-1394,NA,1616,NA,1653,college hall north,inactive,NA,NA
Injured Person,14-1395,NA,1806,NA,1806,drew hall,inactive,NA,NA
Fire Alarm Activation,14-1403,NA,1010,NA,1009,annex i,inactive,NA,NA
Fire,14-1404,NA,2000,NA,2000,plaza towers,active,NA,NA
Sick Person,14-1405,NA,2131,NA,2131,college hall north,inactive,NA,NA
Theft I,14-1406,NA,1802,NA,2211,law library,active,NA,NA
Fire Alarm Activation,14-1403,NA,1010,NA,1009,annex i,inactive,NA,NA
Fire,14-1404,NA,2000,NA,2000,plaza towers,active,NA,NA
Sick Person,14-1405,NA,2131,NA,2131,college hall north,inactive,NA,NA
Theft I,14-1406,NA,1802,NA,2211,law library,active,NA,NA
Sick Person,14-1407,NA,0143,NA,0132,hu hospital,inactive,NA,NA
Sick Person,14-1408,NA,0532,NA,0532,hu hospital,inactive,NA,NA
Miscellaneous,14-1409,NA,0900,NA,0849,east campus,inactive,NA,NA
Lost Property,14-1410,NA,1257,NA,1257,district socc,inactive,NA,NA
Sick Person,14-1411,NA,1508,NA,1508,bethune hall,inactive,NA,NA
Injured Person,14-1412,NA,1608,NA,1550,service center,inactive,NA,NA
Sick Person,14-1413,NA,2230,NA,2231,adams building,inactive,NA,NA
Theft I,14-1414,NA,0046,NA,0046,slowe hall,active,NA,NA
Threats,14-1415,NA,1414,NA,1418,blackburn center,active,NA,NA
Theft II,14-1416,NA,1446,NA,1436,fine arts building,active,NA,NA
Fire,14-1417,NA,1822,NA,1822,plaza towers,active,NA,NA
Theft II,14-1418,NA,1953,NA,1953,burr gymnsaiun,active,NA,NA
Theft From Auto 14-1419,NA,NA,2035,NA,2035,childers lot,active,NA,NA
Sick Person 14-1420,NA,NA,0200,NA,0157,hu hospital,inactive,NA,NA
Sick Person 14-1421,NA,NA,0601,NA,0559,quadrangle hall,inactive,NA,NA
Disorderly 14-1422,NA,NA,1319,NA,1315,blackburn center,active,NA,NA
Sick Person 14-1423,NA,NA,1000,NA,1000,bethune annex,inactive,NA,NA
Theft Ii 14-1424,NA,NA,1530,NA,1428,adams building,active,NA,NA
Attempt Suicide 14-1425,NA,NA,2202,NA,2202,quadrangle hall,active,NA,NA
Loud Noise 14-1426,NA,NA,0121,NA,0109,727 gesham pl. nw,active,NA,NA
Sick Person 14-1427,NA,NA,0138,NA,0138,727 gesham pl. nwinactice,NA,NA,NA
Sick Person 14-1428,NA,NA,0205,NA,0205,quadrangle hallinactice,NA,NA,NA
Unlawful Entry 14-1429,NA,NA,1030,NA,0444,hu hospital,active,NA,NA
Lost Property 14-1430,NA,NA,2230,NA,2153,plaza towersinactice,NA,NA,NA
Robbery Force /Domestic Vio1le4n-c1e431,NA,NA,0008,NA,2330,plaza towers,inactive,NA,NA
Destruction Of Property 14-1432,NA,NA,0735,NA,0735,slowe hall,active,NA,NA
No Report 14-1433,NA,NA,,NA,,,NA,NA,NA
Sick Person 14-1434,NA,NA,2025,NA,2025,blackburn center,inactive,NA,NA
Lost Property 14-1435,NA,NA,1056,NA,1050,blackburn center,inactive,NA,NA
Fire Alarm Activation 14-1436,NA,NA,1110,NA,1109,plaza towers,inactive,NA,NA
Theft II 14-1437,NA,NA,1318,NA,1240,mudd building,active,NA,NA
No Report 14-1438,NA,NA,,NA,,,NA,NA,NA
Theft II 14-1439,NA,NA,1611,NA,1611,fine arts building,active,NA,NA
Burglary I 14-1440,NA,NA,1637,NA,1000,plaza towers,active,NA,NA
Miscellaneous 14-1441,NA,NA,1600,NA,1541,lower campus,inactive,NA,NA
No Report 14-1442,NA,NA,,NA,,,NA,NA,NA
Student Misconduct 14-1443,NA,NA,0945,NA,0954,douglass hall,active,NA,NA
Fire Alarm Activation 14-1444,NA,NA,1323,NA,1323,college hall north,inactive,NA,NA
Theft II 14-1445,NA,NA,1700,NA,1659,mudd building,active,NA,NA
Miscellaneous 14-1446,NA,NA,1721,NA,1721,plaza towers,inactive,NA,NA
Fire Alarm Activation 14-1447,NA,NA,0528,NA,0529,slowe hall,inactive,NA,NA
Vehicle Accident 14-1448,NA,NA,0924,NA,0930,500 block gresham pl. nw,active,NA,NA
Vehicle Accident 14-1449,NA,NA,1200,NA,1152,service centet,active,NA,NA
Miscellaneous 14-1450,NA,NA,1329,NA,1300,main yard,inactive,NA,NA
Fire Alarm Activation 14-1451,NA,NA,1518,NA,1518,hurb-1,inactive,NA,NA
Miscellaneous 14-1452,NA,NA,1311,NA,1313,college hall south,inactive,NA,NA
Fire Alarm Activation,14-1453,NA,0043,NA,0043,hu hospital,inactive,NA,NA
Fire Alarm Activation,14-1454,NA,1436,NA,1436,architecture & planning,inactive,NA,NA
Miscellaneous,14-1455,NA,0225,NA,0220,2500 5th st. nw,inactive,NA,NA
Miscellaneous,14-1456,NA,1616,NA,1616,2300 block  9th st. nw,inactive,NA,NA
Hazardous Elevator,14-1457,NA,1323,NA,1320,plaza towers,inactive,NA,NA
Fire Alarm Activation,14-1458,NA,2050,NA,2046,plaza towers,inactive,NA,NA
Destruction of Property,14-1459,2012-01-14,0121,2012-01-14,0121,upper campus,active,2012,2012
Lost Property,14-1460,2012-01-14,0627,2012-01-14,0533,wonder plaza,inactive,2012,2012
Fire Alarm Activation,14-1461,2012-01-14,1315,2012-01-14,1309,mudd building,inactive,2012,2012
Stolen Auto,14-1462,2012-01-14,2045,2012-01-14,1830,500 block of gresham pl,active,2012,2012
