report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition,year_occured,year_reported
2020-07-03,unlawful entry dc code22-3302,a gu staff member reported thatthey located an unauthorizedsubject inside the securedbuilding,20-000637,2020-07-03,0945,hariri building,subject barred,2020,2020
2020-07-03,lewd indecent act: dccode 22-1312 indecentexposure,a gu staff member reported thatan unknown suspect committed alewd indecent act (exposedhimself),20-000638,2020-07-03,1820,copley lawn,subject barred,2020,2020
2020-07-03,lewd indecent act: dccode 22-1312 indecentexposure,a student reported that anunknown suspect committed alewd indecent act (exposedhimself),20-000640,2020-07-03,1820,alumni square,case pendinginvestigation,2020,2020
2020-07-04,lewd indecent act: dccode 22-1312 indecentexposure,a gupd officer reported that theyobserved a male subjectcommitting a lewd indecent act(exposed himself),20-000641,2020-07-04,0405,cooper field,subject barred,2020,2020
2020-07-13,burglary: dc code 22-801 (b),a gupd officer reported that anunknown suspect gained accessto a secured office and stole acomputer,20-000655,2020-07-13,1145,st mary's hall,unfounded computer wasremoved for service,2020,2020
2020-07-15,theft ii: dc code 22-3211 (b),a staff member reported the theftof a wallet,20-000658,2020-07-15,1820,southwest quadgarage,case pendinginvestigation,2020,2020
2020-07-23,burglary: dc code 22-801 (b),a staff member reported that anunknown suspect gained accessto a secured office and stole aspeaker,20-000673,2020-07-23,1345,icc,case pendinginvestigation,2020,2020
2020-07-30,attempt theft i: dccode 22-3211 (a),a gu employee reported theattempted theft of a motor scooter,20-000689,2020-07-30,0908,lauinger libraryll bicycle rack,case pendinginvestigation,2020,2020
2021-07-20,NA,NA,NA,NA,NA,NA,NA,NA,2021
2021-07-07,theft,a student reported the theft of anapple ipad,21-000569,2021-07-06,1200,lauinger library,unfounded property wasturned in to gupd seegupd report 21-000567,2021,2021
2021-07-08,harassment,a student reported being harassedby a construction worker,21-000570,2021-07-01,1305,west road,case closed subjectidentified as a 17 year oldjuvenile released toguardian and removedfrom work site,2021,2021
2021-07-10,harassment,a student reported being harassedby a construction worker,21-000576,2021-07-10,1230,west road,case closed subjectidentified as a 17 year oldjuvenile released toguardian and removedfrom work site,2021,2021
2021-07-13,rape,a student reported that they weresexually assaulted,title ix - 788,2021-07-11,NA,on campusresidence hall,case pending investigation,2021,2021
2021-07-16,destruction of property,a student reported that anunknown suspect smashed thewindow to their vehicle,21-000591,2021-07-16,0730,"3600 block ""n""street northwest",case pending investigation,2021,2021
2021-07-16,burglary,a student reported that anunknown suspect gained access totheir unsecured room and stolepersonal property,21-000592,2021-07-16,1945,darnall hall,case pending investigation,2021,2021
2021-07-16,burglary,a student reported that anunknown suspect gained access totheir unsecured room and stolepersonal property,21-000593,2021-07-16,1945,darnall hall,case pending investigation,2021,2021
2021-07-17,rape,a student reported that they weresexually assaulted,21-000596,2021-07-17,0100,"village ""a""",case handled by mpdccn: 21-098777,2021,2021
2021-07-31,destruction of property,a gupd officer reported that anunknown suspect vandalized thedoor,21-000629,2021-07-31,1605,observatory,case pending investigation,2021,2021
2021-07-31,burglary,a student reported that anunknown suspect gained access totheir unsecured room and stolepersonal property,21-000630,2021-07-31,0845,new south hall,case pending investigation,2021,2021
2021-07-31,theft,a student reported the theft of abicycle,21-000633,2021-07-31,2130,lauinger library,case pending investigation,2021,2021
2017-06-02,theft, a student reported the theftof a bicycle,17 000840,2017-06-02,1230,lauinger library,case pending investigation,2017,2017
2017-06-03,theft, a student reported the theftof a bicycle,17 000841,2017-05-05,900,arrupe hall,case pending investigation,2017,2017
2017-06-03,burglary,  a student reported thatan unknown person entered into aresidence and stole a suitcasecontaining personal papers andelectronics.,17 000843,2017-06-03,1230,henle village,case pending investigation,2017,2017
2017-06-03,theft, a student reported the theftof a bicycle,17 000845,2017-05-18,1100,gervase hall,case pending investigation,2017,2017
2017-06-03,theft, a staff member reported partof his uniform equipment wasstolen from his locker,17 000846,2017-05-30,2300,village c west,case pending investigation,2017,2017
2017-06-03,theft, a staff member reported partof his uniform equipment wasstolen from his locker,17 000847,2017-06-01,2300,village c west,case pending investigation,2017,2017
2017-06-04,assualt,  a victim(non affilate)reported being punched in the face.the suspect (non affilate) wasidentfied.,17 000849,2017-06-04,118,library walk,case closed with an arrest,2017,2017
2017-06-05,burglary," a student reported thatan unknown person entered into aresidence and stole a television,gaming system and jewerly",17 000850,2017-05-22,600,3600 block ofprospect st,case pending investigation,2017,2017
2017-06-06,theft, a student reported the theftof a bicycle,17 000854,2017-06-06,845,red square,case pending investigation,2017,2017
2017-06-06,drug violation, a student wasfound in possession of a cigarettecontaining marijuana.,17 000855,2017-06-06,2230,darnall hall,referrred to studentconduct.,2017,2017
2017-06-08,theft, a student reported the theftof a bicycle,17 000865,2017-06-08,940,icc,case pending investigation,2017,2017
2017-06-12,burglary, an unknown personentered into a room and stole cash.,17-000871,2017-06-12,1643,village c west,case pending investigation,2017,2017
2017-06-14,burglary, an unknown personentered into a residence and stolecash and a credit card,17-000880,2017-06-14,1751,village c west,case pending investigation,2017,2017
2017-06-17,burglary, an unknown personentered into a residence and stolecash and a credit card,17-000889,2017-06-16,900,village c west,case pending investigation,2017,2017
2017-06-18,alcohol violation, an underagedstudent was in possession ofalcohol,17-000893,2017-06-18,0019,reissscience/arrupehall walkway,referrred to studentconduct.,2017,2017
2017-06-18,sexual assault, a student repotedthat they were sexually assaulted,tix-???,2016-05-15,NA,campus buildingrooftop,case pending investigation,2016,2017
2017-06-23,theft,  a student reported the theftof a wallet that was left unattendedin the area.,17-000910,2017-06-23,1101,epicureanresturant,case pending investigation,2017,2017
2017-06-25,theft, an unknown personremoved a cable box from acommon area,17-000918,2017-06-25,944,darnall hall,case pending investigation,2017,2017
2016-06-26,theft, a toy scooter that was leftoutside of a residence was stolen.,17-000924,2017-06-26,1755,village a,case pending investigation,2017,2016
2017-06-29,burglary, credit cards were stolenfrom a purse that was leftunattended in a lab. the cards wereused off campus.,17-000941,2017-06-29,1414,medical dentalbuilding,case pending investigation,2017,2017
2018-06-01,theft, a  gu employee reported thetheft of tools,ember,2018-06-01,0530,south west quad,case pending investigation,2018,2018
2018-06-01,drug violation, a student wasfound in possession of marijuana,18-000794,2018-06-01,1701,3500 blockprospect streetnorthwest,case referred to studentconduct,2018,2018
2018-06-01,theft, a  student reported the theftof a watch,18-000795,2018-06-01,2100,icc,case pending investigation,2018,2018
2018-06-09,destruction of property,  a gupdofficer reported that someone hadattempted to gain access to thehealy attic causing damage to thelock and door,18-000805,2018-06-09,1838,healy hall,case pending investigation,2018,2018
2018-06-10,burglary, a gu affiliate reportedthat an unknown subject enteredtheir secured residence and stoleproperty,18-000806,2018-06-10,2145,village c west,case pending investigationhandled by mpd ccn 18-094286,2018,2018
2018-06-12,sexual assault, a student repotedthat they were sexually assaulted,tix-295,2018-02-03,NA,reynolds hall,case pending investigation,2018,2018
2018-06-15,theft, a  gu affiliate reported thetheft of a bicycle,18-000816,2018-06-15,1630,leavey center,case pending investigation,2018,2018
2018-06-15,stalking,"  a staff member reportedthat they received severalunwanted phone calls, emails, andtext  from a known associate",18-000817,2018-04-17,1200,icc,case pending investigationhandled by mpd ccn 18-097446,2018,2018
2018-06-18,dating violence, a student reportedthat they were physically assaulted,tix-308,2016-01-01,NA,on campus,case pending investigation,2016,2018
2018-06-19,threats to do bodily harm, a  nongu affiliate reported that they werethreatened,18-000827,2018-05-30,1500,"saint mary's (lot""b"")",case closed with onearrest handled by mpdccn 18-087247,2018,2018
2018-06-20,theft, a  student reported the theftof a bicycle,18-000828,2018-06-20,0800,leavey center,case pending investigation,2018,2018
2018-06-20,theft, a  student reported the theftof a bicycle,18-000830,2018-06-20,1700,saint mary's,case pending investigation,2018,2018
2018-06-21,theft, a  gu affiliate reported thetheft of merchandise,18-000831,2018-06-20,1741,leavey center,case pending investigation,2018,2018
2018-06-21,burglary, a gu affiliate reportedthat an unknown subject enteredtheir secured residence and stoleproperty,18-000838,2018-06-21,1600,new south hall,case pending investigation,2018,2018
2018-06-22,stalking, a student reported thatthey were being stalked,tix-313,2017-09-01,NA,on campus,case pending investigation,2017,2018
2018-06-24,theft, a  student reported the theftof a bicycle,18-000845,2018-06-24,2314,lxr,case referred to studentconduct,2018,2018
2018-06-25,theft, a  staff member reported thetheft of a wallet,18-000847,2018-06-25,0900,rosslyn shuttlebus,case pending investigationhandled by mpd ccn 18-103518,2018,2018
2018-06-25,theft, a  student reported the theftof a bicycle,18-000848,2018-06-25,1420,pre-clinicalscience,case pending investigation,2018,2018
2018-06-26,theft, a  gu affiliate reported thetheft of a clothing,18-000852,2018-06-25,0900,arrupe hall,case pending investigation,2018,2018
2018-06-26,burglary, a gu affiliate reportedthat an unknown subject enteredtheir secured residence and stoleproperty,18-000854,2018-06-26,2030,new south hall,case pending investigationhandled by mpd ccn 18-104532 / unfoundedproperty located,2018,2018
2018-06-27,theft, a  gu affiliate reported thetheft of a backpack,18-000865,2018-06-25,0730,southwest quadcourtyard,case pending investigation,2018,2018
2018-06-27,drug violation, a gu affiliate wasfound in possession of marijuana,18-000866,2018-06-27,2100,lxr,case referred toresidential living / studentconduct,2018,2018
2019-06-01,unlawful entry,  a gupd officerreported that they located aunauthorized non affiliate oncampus who had been previouslybarred,19-000725,2019-06-01,1823,lauingr library,case closed with arrestccn: 19-074258,2019,2019
2019-06-03,indecent exposure, a studentreported that they observed a malesubject exposing himself.,19-000730,2019-06-03,1155,lauingr library,case pending investigation,2019,2019
2019-06-04,burglary, a staff member reportedthat an unknown suspect gainedaccess to their unsecured officeand stole money,19-000735,2019-06-04,1745,hariri building,case pending investigation,2019,2019
2019-06-06,destruction of property, a  guaffilaite reported that an unknownsubject destroyed hotel property,19-000742,2019-06-05,2305,conference centerhotel,case pending investigation,2019,2019
